Q12_OTHER_TEXT,Q13_OTHER_TEXT,Q14_OTHER_TEXT,Q14_Part_1_TEXT,Q14_Part_2_TEXT,Q14_Part_3_TEXT,Q14_Part_4_TEXT,Q14_Part_5_TEXT,Q16_OTHER_TEXT,Q17_OTHER_TEXT,Q18_OTHER_TEXT,Q19_OTHER_TEXT,Q20_OTHER_TEXT,Q21_OTHER_TEXT,Q24_OTHER_TEXT,Q25_OTHER_TEXT,Q26_OTHER_TEXT,Q27_OTHER_TEXT,Q28_OTHER_TEXT,Q29_OTHER_TEXT,Q2_OTHER_TEXT,Q30_OTHER_TEXT,Q31_OTHER_TEXT,Q32_OTHER_TEXT,Q33_OTHER_TEXT,Q34_OTHER_TEXT,Q5_OTHER_TEXT,Q9_OTHER_TEXT
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LinkedIn ,,,Python,,,,,,,,,,,,,,,,,,,,,,,Salesman,
,,,,Prism,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Trainer,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Python notebooks, local scripts",,SAS Studio,,SAS,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,SAP HANA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Retired,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,R,,,,,,,,,,,,,,,,,,,,,
,,,,SAS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MS Office Suite,,,,,,,,,,,,,,,,,,,,,,,Senior Support Analyst,
,,,,,,jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Pycharm,,,,,,,,,,,,,,,,,,,Vertica ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter Lab,,,,,,,,,,,,,,,,,,,,,
,,,excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupiter notebooks python,,,,,,,,,,,,,,,,,,,,,
,books,,excel,,,,,,,,,,,i don't know,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,excel,,,,,,,,,,,,,,,,,,,,,,,,
,,SQL Workbench/J,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,R,,,,,,,,,,,,,,,,,,,,,
,,,excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,tableau,,,,,,,,,,,,,,,,,,,,,,
,,,"excel,google docs",,,,,,,,,,,,,,,,,,,,,,,,
,,,,spss,,,,,,,,,,,,,,,,,,,,,,TA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio ,,,,"FORTRAN, APL",,,,,,,,,,,,,,,,,
,,,,,,"R, Python, Spotfire",,,,,,,,,,,,,,,,,Azure cognitive services,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Edvancer, upx, YouTube",,,,,"Python, r studio",,,,,,,,,,,,,,,,,,,,Sr.project manager,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyternotebook,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,grayatom,,RDBMS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python,,,,,,,,,,,,,,,,,,,,,
,,,,,,python jupyter ,,,,,,,,,,,,,,,,,,,,,
,,,Both,,,,,,,,,,,,,,,,,,,,,,,,
,youtube,,,,,Python with JupyterLab,,,,,,,,,,,,,,,,,,,MongoDB,,
,,,,,,"Python, Anaconda Tools",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Colab,,,,,,,,,,,,,,,,,,,,,
,,,,,Qlikview,,,,,,,,,,,,,,,,,,,,,,
,World Quant University,Non,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AWS,,,,,,,,,,,,,,,,,,,,
,,,,,,R,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Estúdio, Jupyter",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"PyCharm, Jupyter Notebook",,,,,,,,,,,,,,,,Arm TreasureData,,,,,
,,,excel,,,,,,,,,,,,,,,,,,,,,,,Professor,
,,,,,,"Jupyter notebook, Python, R",,,,PHP,,,,,,,,,,,,,,,MongoDB,,
,,,,,,Jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Hardware Reliability Engineer,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,
,Emeritus,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,Consultant,
,,,,,,Python. Jupyter. VS Code,,,Azure Machine Learning,,,,,,,,,,,,,,,,,,
,,,,,,jupyter,,,,,,,,,prevision.io,,,,,,,,,prevision.io,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AWS,,,,,,,,,,,,,,,,,,,Electronic Engineer,
,,"Matlab, Python",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Jupyterlab, H20",,,,,,,,,,,,,,,,,Domino Data Science Platform,,,,
,Edureka,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,R,,,,,,,,,,,,,,,,,,,,,
habr.com,,,,,,python,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,sklearn,,,,,,,,,,,,,,,,,,,,,
,,Local developments & Cloud-based data software & APIs,,,,,,,,,,,,,,,,,,,,,,,,Data Scientist & Software Engineer,
,,,,,,,,,,,,,,,,,,,,,,,,,,BDR in HDFC bank ,
,,,,,,MachineLearningStudio,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Jupyter, anaconda",,,,C#,,,,,,,,,paperspace,,,,,,DB2,,
,,,,,,I use python for data analysis,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Sql, R ,SAS",,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ASIC Engineer,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ndnsjemme,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GCP,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,Databricks,Scala,,,,,,,,,,,,,,,,,
,,,,,,,Watson Studio,,,,,,,,,,,,,,Watson ML,,SPSS,,,,
,,Matlab and Mathematica,,,,,,Netbeans,,,,,,,,,,,,,,,,,,,
,,,Using advance excel packages like pivot table and others,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ufo,,,,,,,
,,,,,,Spyder ,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Rstudio, Datagrip, Jupyter",,,,,,,,,,,,,,,"AWS EMR, AWS S3",,,,AWS redshift,,
,"Stepik, data.mail.ru, mlcourse.ai, dlcourse.ai, dlcmu.datagym.ru",,,,,Jupyter Notebook,,,,,,,,,catalyst,,,CatBoost,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,Codecademy,,"Mostly, but also Tableau",,,,,,,,,,,,,,,,,,,,,,,,
,,Jupiterlab,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python,,,,C#,,,,,,,,,,,,,,,,,
,,,gSheets,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"RStudio,Jupyterlab",,framework ,,,,,,,,,,,,,,,,,,,
,,,"Microsoft Excel, Tableau",,,,,,,,,,,,,,,,,,,,,,,,
,Codecademy,,,,,,,,,,,,,,,,,,,,,,,,,,
,IBM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Excel, SSMS",,,,,SSMS,,,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,Matlab,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,MODE Analytics,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AWS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference sites,Particular Course,,,,,JupyterLab,,,,,,"PANDA, SCIKT",,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyter,,,,,,,,,,,,,,,,,,,,,
,,,Google Sheet,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,cool,,,,,,,,,,,,,,,,,,,,
,,I don't visualize data as often ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter notebook python pandas,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python,,,,,,,,KNN,,,,,,,,,,,,,
,,,,,,VScode with python and c# extensions,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,designer,
,cognitive classes(IBM),,,,,,"Azure, Kaggle Notebooks",,,,,,,"KNN, SVM",,,,,,,,,,,,,
,,,,,,Its easier to analyse data and work on it and apply suitable model for machine learning,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Spyder for Python,,,,,,Pandas plotting library,,,,,,,,,,,,,,,
,https://cognitiveclass.ai/,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,no,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,,,SAS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter - Anaconda,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Aws , gcp , azure , openstack ",,,,,,,,,,,,,,,,,,,,
,,,,,,Rstudio or jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,Power BI with Python/R and Tableau,,,,,C#,,,,,,,,,,,,,,,MSSQL,,
,,,,,,"python,matlab",,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python,,,,,,,,,,,,,,,,,,,,,
,,,,,,R and Python,,,,,,,,,DataRobot,,,,,,,,,,,,
,,,excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Rstudio,,,,,,,,MaxEnt (maximum entropy),,,,,,,,,,,,,
email subscriptions,,,,,,"Python, Jupyter",,,,,,,,,,,,catboost,,,,,,,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AWS,Intellij,Databricks,Scala,,,,,,,,,,,,,,,,,
,,,,R,,,,,,,,,,,,,,,,,,,,,,,
,Acámica Academy. Argentina,,,,Power BI,,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"AWS, Google vision api, GCP servers",Microsoft Code,,,,,,,,,,,,,,,,,,,
,,Python in terminal,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AWS,,,,,,,,,,,,,,,,,,,,
,,,,,,,AWS,,,,,,,,,,,,,,,,,,,,
,,,,,,,AWS,,,,,,,,,,,,,,,,,,,,
Data Science Central,Chris Hawkes; PPDM Machine Learning,,Power Query in Excel and Power BI; Minitab; Python in VSCode & Anaconda's Jupyter; DAX Studio; RStudio; MicroStrategy; Google Earth,,,,,MiniTab,,M; DAX,,Excel; Power BI; MicroStrategy; Minitab,,,,,,,,,,,,,,,
,,,,,,"Rstudio, pycharm",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Matlab, Python + Jupyter",,,,,,,,,,,,,,,,,,,,,
,UpGrad,,,,,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"rstudio, jupyter notebooks",,,,,,,,,,,,,,,,,,,,,
,,,,,,,"AWS, GCP",,,,,,,,,,,,,,,,,,,,
,Great Learning,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Studio, jupyternotebook",,,,Sas,,,,,,,,,,,,,,,,,
,,,,,,"R, python, с++",,,,,,,,,,,,,,,,,,,,,
,FutyreLearn,,,SPSS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Looker,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python - Jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,excel and python ,,,,,,,,,,,,,,,,,,,,,,,,,
,OpenSAP,,,,,"JupyterLab, JupyterNotebook",,,,ABAP,,,,,,,,,,,,,,,SAP HANA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"EXCEL, GOOGLE SHEETS, ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,Engineer,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
Udacity ,,,Jira analytics,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SAS,,,,,private platform,,,,,,,,,,,,,,,,SAS,,
,,,,,,"JupyterLab, Python, SKlearn",,,,,,,,,,,,,,,,,,,,Computer Vision Engineer,
,,,Excel only,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,Apache Spark from Miniconda,,,,"Scala, Go",,,,,,,,,,,,,,,,,
,,,,,,Python,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python,,,,,,,,,,,,,,,,,,,,,
,,,Excel ,,,,,,,,,Plotpy,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ME,,,,,,,,,,,,,,,,,,,,,,,,
,,,We use excel to analyze our data,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Anaconda,,,,,,,,,,,,,,,,,,,,,
,Kaggle competitions,,,,,"JupyterLab, Jupyter Notebook",,,,,,,,,,,,,,,,,,,,,
,,,excel,,,,,,,,,,,,,,,,,,,,,,,,
,Taiwan AIA,,pandas,,,,,,,,,,,,,,,,,,,,,,,process engineer,
,,,,,,,GCP,,,,,,,,,,,,,,,,,,,,
,,,"Excel, Sheets",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Jupyter Notebook, RStudio",,,Jupyter Notebook,,,,,,,,,,,,,,,,,,
,PluralSigh,,,,,Rstudio,,,,"Powershell, C#",,,,,,,,,,,,,,,,,
,,,,,,Jupyter Notebooks,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,Anaconda ,,,,,,,,,,,,,,,,,,,,Prof1: product test,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Aws athena,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,Power bi,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python/Jupyter ecosystem,,,,,,,,,,,,,,,,,,,,,
,,,MS Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,Python and Matlab ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,excel,,,,,,,,,,,,,,,,,,,,,,,,
,coursera,,,,tableau,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio and Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Python, jupyter notebooks, a little RStudio",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"python/C++, might deploy pilot study to a cloud solution, but most of the development is performed locally. ",,,,,,,,,,,,,,,Dabbled with SageMaker,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AWS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,knime,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Aws,,,,,,,,,,,,,,,,,,,,
,,,,,,Python ,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Rstudio, Jupyter Lab",,,,,,,,,,,,,,,,,,,,,
,,,excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,python ,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python,,"Tableau, Excel",,,,,,,,,,,,,,,,,,,
,https://open.hpi.de/,,"Excel, Microsoft SQL Management Studio",,,,,,,C#,,,,,,,,,Adobe Creative Cloud,,,,,,IBM Informix,,
,,,,,,,Aws,,Databricks,,,,,,,,,,,,,,,,,Director machine learning,
,,,,,,Rstudio,,,Rstudio cloud a bit,,,Tableau,,,,,,,,,,,,,,Professor,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,I prefer using python for analyzing days as I was a beginner,,,,,,,,,,,,,,,,,,,,,
qandll,,,,,qlik,,,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"SAS, sql, python ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"AWS, GCP",,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
toutiao.com,,,,,,jupyterlab,,,,,,,,,,,,,jdcloud,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R,,,,,,,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupiter notebook and RStudio,,,,,,,,,,,,,,,,,,,,,
,,,MS Excel then MYSQL Database,,,,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
LinkedIn,,,,SPSS,,,,,,,,,,,,,,,,,,,,,,New Commercial Model ,
,,,,,,Python,,,,,,,,,,,,,,,,,,,,,
,Applied AI,,,,Salesforce,,,,,,,,,,,,,,,,,,,,,,
,UpGrad,,,,"Qlik Sense, Powet BI",,,,,,,,,,,,,,,,,,,,,,
,,,Pandas,,,,,,,,,,,,,,,,,,,,,,,,
,,Pandas,,,,,,,,,,,,,,,,,,,,,,,,,
,,,spreadsheet,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Excel , power Bi , started looking into python /R",,,,,,,,,,,,,,,,,,,,,,,Warranty engineer,
,Imarticus learning ,,,,,"Except jupyter we use azure, tableau and SAS",,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Zeppelun,,,Zeppelin ,,,,,,,,,,,,,,,,,,
,plataforma de formación de la empresa,,,,,Python,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python 3.x,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mostly jupyter,,,,,,,,,,,,,,,I will not use cloud base computing platforms mostky work on local created networks,,,,,,
,,,Matlab,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,,aws,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Transfrogaria. ,,,,,,Transport facilitated non entity ,
,,,,,,,Aws and gcp,,,,,,,,,,,,,,,,,,,,
,,,,,Rapid minder,,,,,,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,Infrastructure Support,
,,,,,BI Platform,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Rstudio,,,,,,,,,,,,,,,,,,,,,
,,,Google sheet,,,,,,,,,,,,,,,,,,,,,,,Assistant professor,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,Splunk,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Excel sheets,,,,,,,,,,,,,,,,,,,,,
,,,,,,"JupyterLab, Plotly, Matplotlib",,,,,,,,,,,,,,,,,,,,,
,,,,,,Python,,,,,,,,,,,,,,,,,,,,,
I have not seen others apart from the ticked one,"Google AI, DSDJ, INSAID",,,,,Jupyterlab,,,,,,,,,,,,,,,,,,,,,
,,,,,,MATLAB or R,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter notebook,,,,,,,,,,,,,,,,,,,,R&D Mechanical Engineer,
,,,,,,,,,,,,,,,,,,,,,,,,,,PhD Student Researcher,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Splus,,,,,,,,,,,,,,,,,,,,,,,,
www.techbang.com,,"JupyterNotebook, Excel and Tableau",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tableau,,,,,,,,,,,,,,,,,,,,,,
,,,,MATLAB,,,,,,,,MATLAB,,,,,,,,,,,,,,,
,,,,,Tableau,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Anaconda Prompt, RapidMiner",,,,,,,,,,,,,,,,,,,,,
,,,,,,"Python, Jupyter",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter notebooks,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Anaconda,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Cloud infra,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,python,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Jupyter Notebook, Python",,,,,,,,,,,,,,,,,,,,,
youtube: dot.csv . But NOT plagiarist Siraj,,,,,,JupyterNotebooks,,,,,,,,,,,,,,,Databricks (Spark),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python and jupyter,,,,zsh,,,,,,,,,,,,,,,,,
,,,,,,,Jupyter notebook,,,,,,,,,,,,,,,,,,,,
,,,,R,,,,,,,,,,,,,,,,,,,,,,,
,,,"used excel,google sheet",,,,,,,,,,,,,,,,,,,,,,,,
,,,microsoft excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,R Python,,,,,,,,,,,,,,,,,,,,,
,,,excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"VS Code, Jupyter Notebook",,,,Powershell,,,,,,,,,,,,,,,,,
,Youtube,,,,,"Pycharm,dev,oracle,mysql,colab",,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,Qlik Sense,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyterlab,,,,,,,,,,,,,,,,,,,,,
,,,,,,"R studio, Python",,,,,,,,,,,,,,,,,,,,,
,,,,,,Mostly Jupyterlab,,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,,
,,,,,"Tableau, Google Data Studio",,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Data sets are small and hence easily handled with excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,Salamander,,,,,,,,,,Salamander,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tableu,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,Microsoft Excel ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MICROSOFT,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Rstudio,,,,,,,,,,,,,,,,,,,,Civil engineer,
,,,,,,Jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyterlab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python ,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Python, R",,,,Julia,Julia,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MS Excel and Google Sheet,,,,,,,,,,,,,,,,,,,,,,,,
,,Jupyter note,,,,,,,,,,,,,,,,,,,,,,,,AI Engineer,
,,,,,,"Jupyter Notebook,Spyder,and GoogleColab",,,,,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
